Index,HPD,WW,Instrumentalist,Composer,Anxiety,Depression,Insomnia,OCD,total_score,JHPD
0,3.0,Yes,Yes,Yes,3.0,0.0,1.0,0.0,4.0,2.9807618337149635
1,1.5,Yes,No,No,7.0,2.0,2.0,1.0,12.0,1.412906683801844
2,4.0,No,No,No,7.0,7.0,10.0,2.0,26.0,3.9094962151281245
3,2.5,Yes,No,Yes,9.0,7.0,3.0,3.0,22.0,2.4194544112377585
4,4.0,Yes,No,No,7.0,2.0,5.0,9.0,23.0,4.026056096361785
5,5.0,Yes,Yes,Yes,8.0,8.0,7.0,7.0,30.0,4.9091088604831254
6,3.0,Yes,Yes,No,4.0,8.0,6.0,0.0,18.0,2.9807774956829998
7,1.0,Yes,No,No,5.0,3.0,5.0,3.0,16.0,1.0070725871621822
8,6.0,Yes,No,No,2.0,0.0,0.0,0.0,2.0,6.055411529668523
9,1.0,Yes,No,No,2.0,2.0,5.0,1.0,10.0,0.9066485649090404
10,3.0,Yes,Yes,No,7.0,7.0,4.0,7.0,25.0,3.0967226757757995
11,8.0,Yes,No,No,1.0,0.0,0.0,1.0,2.0,7.969466102601348
12,3.0,Yes,No,No,9.0,3.0,2.0,7.0,21.0,3.044885671059449
13,2.0,Yes,No,No,2.0,1.0,2.0,0.0,5.0,2.0912782017516047
14,4.0,Yes,Yes,No,6.0,4.0,7.0,0.0,17.0,3.957782628323155
15,2.0,No,No,No,7.0,5.0,4.0,1.0,17.0,1.9463166824817297
16,8.0,Yes,No,No,8.0,8.0,4.0,3.0,23.0,7.9154119979220665
17,12.0,Yes,No,Yes,5.0,7.0,10.0,0.0,22.0,11.987401660478433
18,24.0,Yes,No,No,7.0,5.0,0.0,3.0,15.0,23.958714131078803
19,3.0,No,No,No,7.0,3.0,0.0,2.0,12.0,3.0646220496291776
20,8.0,Yes,No,No,6.0,9.0,3.0,0.0,18.0,8.036327259690104
21,4.0,Yes,No,No,10.0,10.0,2.0,4.0,26.0,4.031615967905597
22,5.0,Yes,No,No,6.0,7.0,5.0,4.0,22.0,5.008894173385071
23,2.0,Yes,No,No,3.0,3.0,8.0,6.0,20.0,2.0345877981535323
24,3.0,Yes,Yes,Yes,10.0,6.0,8.0,10.0,34.0,2.997539455234858
25,2.0,No,No,No,7.0,4.0,2.0,5.0,18.0,2.0788239055857867
26,12.0,Yes,Yes,Yes,8.0,6.0,10.0,5.0,29.0,12.030755294213078
27,6.0,Yes,Yes,Yes,3.0,2.0,1.0,2.0,8.0,5.9675296687743815
28,2.0,Yes,Yes,No,6.0,6.0,4.0,5.0,21.0,1.9811316750100807
29,1.0,Yes,No,No,8.0,2.0,1.0,5.0,16.0,0.9463178153055192
30,5.0,Yes,Yes,No,7.0,7.0,2.0,0.0,16.0,5.065637320634521
31,2.0,Yes,No,No,4.0,4.0,4.0,3.0,15.0,2.019070930014114
32,6.0,Yes,Yes,No,9.0,8.0,2.0,3.0,22.0,6.024041049083465
33,4.0,No,No,No,5.0,6.0,6.0,1.0,18.0,3.951441756371122
34,1.0,Yes,No,No,0.0,0.0,0.0,0.0,0.0,1.030478885885063
35,5.0,Yes,Yes,No,3.0,2.0,1.0,1.0,7.0,5.086867396497312
36,4.0,Yes,No,No,6.0,8.0,0.0,2.0,16.0,3.9719288608158805
37,3.0,Yes,No,No,2.0,0.0,4.0,0.0,6.0,2.949934098021083
38,0.5,No,No,No,9.0,8.0,1.0,0.0,18.0,0.4582409304738919
39,4.0,Yes,No,No,7.0,2.0,8.0,6.0,23.0,4.05310402364165
40,2.0,Yes,Yes,Yes,4.0,2.0,3.0,4.0,13.0,1.971539294674911
41,5.0,Yes,Yes,No,7.0,6.0,5.0,0.0,18.0,5.004364168477164
42,0.25,No,No,No,3.0,2.0,10.0,0.0,15.0,0.3239061287932713
43,3.0,Yes,No,No,6.0,6.0,8.0,2.0,22.0,3.0266667843106405
44,4.0,Yes,No,No,1.0,0.0,8.0,2.0,11.0,4.053994021023692
45,1.0,Yes,Yes,Yes,7.0,3.0,1.0,5.0,16.0,1.046730137514718
46,1.0,No,Yes,Yes,8.0,9.0,3.0,0.0,20.0,1.0342669553227957
47,3.0,Yes,No,No,9.0,6.0,4.0,3.0,22.0,2.960187887407478
48,5.0,Yes,No,Yes,7.0,9.0,5.0,0.0,21.0,4.907961892194784
49,3.0,Yes,No,No,7.0,4.0,2.0,4.0,17.0,3.026914348878104
50,2.0,Yes,Yes,No,0.0,0.0,0.0,0.0,0.0,2.0953149465860967
51,6.0,Yes,No,No,7.0,8.0,7.0,5.0,27.0,6.03926176920274
52,1.0,No,No,No,10.0,6.0,3.0,10.0,29.0,1.0162360609815697
53,12.0,Yes,No,No,3.0,7.0,5.0,5.0,20.0,12.04716433727254
54,4.0,Yes,No,Yes,8.0,7.0,4.0,3.0,22.0,4.01043167612556
